Date and Time, Tick, Current Task, Ax, Ay, Az, Gx, Gy, Gz, Mx, My, Mz
11/21/2014 12:01:47 PM, 635521681079022224, Tremor Detection, -126, 124, -43, -300, -559, 693, -225, 147, 151
11/21/2014 12:01:48 PM, 635521681080691222, Tremor Detection, -131, 124, 1, -220, -244, 1048, -223, 146, 148
11/21/2014 12:01:48 PM, 635521681080701216, Tremor Detection, -131, 124, 1, 106, 713, 531, -218, 149, 146
11/21/2014 12:01:48 PM, 635521681080711210, Tremor Detection, -104, 85, 11, 377, 1212, 643, -208, 148, 149
11/21/2014 12:01:48 PM, 635521681080721204, Tremor Detection, -104, 85, 11, 726, 1562, 884, -197, 151, 151
11/21/2014 12:01:48 PM, 635521681080731198, Tremor Detection, -68, 115, -88, 1120, 1853, 1088, -183, 145, 171
11/21/2014 12:01:48 PM, 635521681080741192, Tremor Detection, -99, 322, -333, 1195, 1127, 601, -178, 134, 192
11/21/2014 12:01:48 PM, 635521681080751186, Tremor Detection, -99, 322, -333, 962, 661, 98, -175, 127, 198
11/21/2014 12:01:48 PM, 635521681080761180, Tremor Detection, -144, 403, -493, 527, 6, -422, -178, 123, 190
11/21/2014 12:01:48 PM, 635521681080761180, Tremor Detection, -113, 295, -376, -105, -854, -654, -183, 121, 179
11/21/2014 12:01:48 PM, 635521681080771174, Tremor Detection, -113, 295, -376, -761, -1172, -1324, -201, 118, 163
11/21/2014 12:01:48 PM, 635521681080781168, Tremor Detection, -86, 197, -258, -743, -1144, -1532, -212, 118, 152
11/21/2014 12:01:48 PM, 635521681080791162, Tremor Detection, -78, 107, -157, -835, -1131, -1602, -223, 114, 147
11/21/2014 12:01:48 PM, 635521681080801156, Tremor Detection, -78, 107, -157, -1012, -1066, -1472, -233, 106, 146
11/21/2014 12:01:48 PM, 635521681080801156, Tremor Detection, -117, 25, -72, -932, -766, -673, -244, 110, 143
11/21/2014 12:01:48 PM, 635521681080811150, Tremor Detection, -125, 29, -42, -560, -634, -123, -243, 111, 146
11/21/2014 12:01:48 PM, 635521681080821144, Tremor Detection, -125, 29, -42, -129, -387, 235, -242, 118, 146
11/21/2014 12:01:48 PM, 635521681080831138, Tremor Detection, -131, 61, 10, 77, 42, 578, -234, 121, 149
11/21/2014 12:01:48 PM, 635521681080831138, Tremor Detection, -108, 65, 31, 270, 560, 873, -226, 127, 150
11/21/2014 12:01:48 PM, 635521681080841132, Tremor Detection, -108, 65, 31, 868, 1688, 1370, -215, 132, 154
11/21/2014 12:01:48 PM, 635521681080851126, Tremor Detection, -66, 101, -24, 1397, 2167, 1515, -200, 131, 165
11/21/2014 12:01:48 PM, 635521681080861120, Tremor Detection, -108, 346, -393, 1496, 1900, 1332, -181, 122, 195
11/21/2014 12:01:48 PM, 635521681080871114, Tremor Detection, -108, 346, -393, 1398, 794, 981, -176, 114, 219
11/21/2014 12:01:48 PM, 635521681080881108, Tremor Detection, -161, 476, -512, 287, -63, -451, -177, 106, 218
11/21/2014 12:01:48 PM, 635521681080891102, Tremor Detection, -120, 336, -425, -424, -994, -741, -184, 110, 201
11/21/2014 12:01:48 PM, 635521681080901096, Tremor Detection, -120, 336, -425, -886, -1055, -1088, -201, 108, 177
11/21/2014 12:01:48 PM, 635521681080911090, Tremor Detection, -76, 178, -200, -1056, -1046, -1470, -216, 105, 161
11/21/2014 12:01:48 PM, 635521681080921084, Tremor Detection, -77, 45, -77, -1091, -950, -1626, -222, 100, 152
11/21/2014 12:01:48 PM, 635521681080931078, Tremor Detection, -77, 45, -77, -1047, -755, -1336, -234, 98, 151
11/21/2014 12:01:48 PM, 635521681080931078, Tremor Detection, -110, -1, -54, -749, -506, -860, -241, 96, 148
11/21/2014 12:01:48 PM, 635521681080941072, Tremor Detection, -110, -1, -54, -438, -308, -238, -240, 99, 144
11/21/2014 12:01:48 PM, 635521681080951066, Tremor Detection, -120, 45, -48, 105, 243, 491, -238, 105, 148
11/21/2014 12:01:48 PM, 635521681080951066, Tremor Detection, -123, 79, -13, 213, 668, 807, -232, 108, 149
11/21/2014 12:01:48 PM, 635521681080961060, Tremor Detection, -123, 79, -13, 358, 1172, 1051, -221, 112, 151
11/21/2014 12:01:48 PM, 635521681080971054, Tremor Detection, -98, 58, -4, 685, 1730, 1305, -212, 117, 155
11/21/2014 12:01:48 PM, 635521681080971054, Tremor Detection, -87, 195, -202, 1005, 2031, 1477, -198, 110, 176
11/21/2014 12:01:48 PM, 635521681080981048, Tremor Detection, -87, 195, -202, 1361, 1030, 1073, -189, 111, 201
11/21/2014 12:01:48 PM, 635521681080991042, Tremor Detection, -138, 386, -474, 1080, 484, 649, -184, 103, 218
11/21/2014 12:01:48 PM, 635521681080991042, Tremor Detection, -156, 393, -463, 366, -43, -34, -186, 99, 214
11/21/2014 12:01:48 PM, 635521681081001036, Tremor Detection, -156, 393, -463, -267, -807, -582, -192, 100, 197
11/21/2014 12:01:48 PM, 635521681081011030, Tremor Detection, -97, 220, -260, -859, -1015, -1083, -201, 104, 183
11/21/2014 12:01:48 PM, 635521681081021024, Tremor Detection, -85, 121, -143, -862, -834, -1157, -210, 104, 168
11/21/2014 12:01:48 PM, 635521681081021024, Tremor Detection, -85, 121, -143, -711, -693, -1150, -216, 98, 161
11/21/2014 12:01:48 PM, 635521681081031018, Tremor Detection, -104, 76, -91, -597, -680, -987, -225, 97, 157
11/21/2014 12:01:48 PM, 635521681081041012, Tremor Detection, -127, 87, -102, -422, -475, -310, -226, 97, 159
11/21/2014 12:01:48 PM, 635521681081041012, Tremor Detection, -127, 87, -102, -289, -355, -68, -228, 101, 158
11/21/2014 12:01:48 PM, 635521681081051006, Tremor Detection, -129, 106, -105, -141, -126, 100, -224, 101, 158
11/21/2014 12:01:48 PM, 635521681081061000, Tremor Detection, -118, 111, -83, 24, 128, 320, -225, 105, 161
11/21/2014 12:01:48 PM, 635521681081061000, Tremor Detection, -118, 111, -83, 352, 657, 711, -220, 111, 164
11/21/2014 12:01:48 PM, 635521681081070994, Tremor Detection, -104, 125, -78, 538, 879, 803, -211, 111, 171
11/21/2014 12:01:48 PM, 635521681081070994, Tremor Detection, -104, 125, -78, 675, 924, 783, -204, 108, 180
