Date and Time, Tick, Current Task, Ax, Ay, Az, Gx, Gy, Gz, Mx, My, Mz
11/21/2014 12:07:13 PM, 635521684338814072, Tremor Detection, 0, 0, 0, 0, 0, 0, 0, 0, 0
11/21/2014 12:07:13 PM, 635521684338944046, Tremor Detection, 2, 76, -274, 4, 36, -6, -232, 1, -145
11/21/2014 12:07:13 PM, 635521684338954044, Tremor Detection, 2, 76, -274, 6, 37, -6, -235, 4, -141
11/21/2014 12:07:13 PM, 635521684338964042, Tremor Detection, 0, 75, -273, 5, 37, -5, -234, 1, -142
11/21/2014 12:07:13 PM, 635521684338974040, Tremor Detection, 1, 72, -277, 3, 38, -5, -233, 1, -140
11/21/2014 12:07:13 PM, 635521684338974040, Tremor Detection, 1, 72, -277, 4, 38, -5, -232, 2, -145
11/21/2014 12:07:14 PM, 635521684346972440, Tremor Detection, 3, 74, -274, 5, 38, -6, -232, 3, -141
11/21/2014 12:07:14 PM, 635521684346982438, Tremor Detection, 3, 74, -274, 4, 39, -6, -234, 1, -143
11/21/2014 12:07:14 PM, 635521684346982438, Tremor Detection, 2, 72, -276, 4, 39, -7, -233, 1, -140
11/21/2014 12:07:14 PM, 635521684346992436, Tremor Detection, 5, 71, -276, 4, 39, -7, -233, 1, -140
11/21/2014 12:07:14 PM, 635521684347002434, Tremor Detection, 5, 71, -276, 5, 39, -7, -235, -2, -143
11/21/2014 12:07:14 PM, 635521684347002434, Tremor Detection, 3, 77, -275, 4, 40, -7, -231, -2, -142
11/21/2014 12:07:14 PM, 635521684347012432, Tremor Detection, 3, 77, -275, 4, 39, -6, -232, 3, -141
11/21/2014 12:07:14 PM, 635521684347022430, Tremor Detection, 3, 73, -273, 5, 38, -7, -229, 2, -143
11/21/2014 12:07:14 PM, 635521684347022430, Tremor Detection, 0, 75, -272, 5, 39, -7, -230, 0, -142
11/21/2014 12:07:14 PM, 635521684347032428, Tremor Detection, 0, 75, -272, 5, 39, -5, -232, 4, -145
11/21/2014 12:07:14 PM, 635521684347042426, Tremor Detection, 0, 76, -274, 5, 38, -5, -235, 1, -143
11/21/2014 12:07:14 PM, 635521684347042426, Tremor Detection, 0, 76, -274, 4, 39, -6, -233, -2, -143
11/21/2014 12:07:14 PM, 635521684347052424, Tremor Detection, -1, 74, -272, 4, 38, -8, -234, 1, -142
11/21/2014 12:07:14 PM, 635521684347202394, Tremor Detection, 1, 74, -274, 3, 39, -6, -233, -1, -142
11/21/2014 12:07:14 PM, 635521684347212392, Tremor Detection, 1, 74, -274, 3, 39, -5, -232, 0, -141
11/21/2014 12:07:14 PM, 635521684347222390, Tremor Detection, 2, 73, -274, 4, 39, -5, -234, 4, -143
11/21/2014 12:07:14 PM, 635521684347232388, Tremor Detection, 2, 73, -274, 4, 38, -5, -233, 4, -143
11/21/2014 12:07:14 PM, 635521684347242386, Tremor Detection, 1, 75, -275, 4, 39, -6, -233, 1, -143
11/21/2014 12:07:14 PM, 635521684347252384, Tremor Detection, 3, 73, -274, 5, 39, -7, -231, 2, -137
11/21/2014 12:07:14 PM, 635521684347262382, Tremor Detection, 3, 73, -274, 4, 36, -6, -233, -2, -143
11/21/2014 12:07:14 PM, 635521684347272380, Tremor Detection, 2, 75, -276, 4, 37, -5, -231, -1, -143
11/21/2014 12:07:14 PM, 635521684347272380, Tremor Detection, 2, 75, -276, 3, 37, -6, -232, 1, -145
11/21/2014 12:07:14 PM, 635521684347282378, Tremor Detection, 3, 73, -276, 4, 39, -6, -233, 2, -143
11/21/2014 12:07:14 PM, 635521684347292376, Tremor Detection, 3, 74, -276, 3, 38, -7, -233, 2, -145
11/21/2014 12:07:14 PM, 635521684347302374, Tremor Detection, 3, 74, -276, 4, 38, -7, -235, 0, -140
